epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,12710.2,0.57798,0.52891,1.06035,0.58254,0.61532,0.61199,0.47207,1.12268,1.45725,1.55855,0.000132098,0.000132098,0.000132098
91,12855.2,0.47655,0.38199,0.99546,0.54256,0.62044,0.58114,0.45302,1.12833,1.46538,1.57187,0.000121099,0.000121099,0.000121099
92,12962,0.46134,0.35805,0.97918,0.63432,0.57088,0.58798,0.45321,1.08349,1.43133,1.52875,0.0001101,0.0001101,0.0001101
93,13068.4,0.44813,0.34761,0.96644,0.56748,0.65271,0.59043,0.45477,1.09607,1.46546,1.55193,9.91012e-05,9.91012e-05,9.91012e-05
94,13175.2,0.44563,0.34277,0.96814,0.66078,0.59817,0.59121,0.4616,1.0856,1.46672,1.52576,8.81023e-05,8.81023e-05,8.81023e-05
95,13281.5,0.43277,0.33191,0.96271,0.63886,0.58576,0.59101,0.45402,1.12413,1.46579,1.58739,7.71034e-05,7.71034e-05,7.71034e-05
96,13387.4,0.42883,0.33836,0.9684,0.62268,0.60344,0.59358,0.45719,1.13042,1.45345,1.59941,6.61045e-05,6.61045e-05,6.61045e-05
97,13493.1,0.44433,0.32905,0.96445,0.62326,0.59659,0.5938,0.45878,1.11602,1.44559,1.57107,5.51056e-05,5.51056e-05,5.51056e-05
98,13599.7,0.42126,0.32847,0.95195,0.64479,0.58262,0.58895,0.46278,1.11147,1.4544,1.57695,4.41067e-05,4.41067e-05,4.41067e-05
99,13706,0.41003,0.31791,0.94132,0.66196,0.58811,0.5983,0.46208,1.1014,1.44651,1.56323,3.31078e-05,3.31078e-05,3.31078e-05
100,13812.7,0.42472,0.32402,0.9596,0.63354,0.58933,0.59733,0.46024,1.09907,1.45758,1.5573,2.21089e-05,2.21089e-05,2.21089e-05
